iter	Passed	Remaining
0	47	47686
1	48	24215
2	49	16398
3	50	12480
4	50	10132
5	51	8554
6	52	7423
7	53	6580
8	53	5917
9	54	5394
10	55	4963
11	55	4604
12	56	4300
13	57	4042
14	58	3817
15	58	3619
16	59	3445
17	60	3287
18	60	3146
19	61	3021
20	62	2906
21	63	2803
22	63	2707
23	64	2622
24	65	2543
25	65	2470
26	66	2402
27	67	2337
28	68	2279
29	68	2225
30	69	2173
31	70	2124
32	70	2079
33	71	2040
34	72	1998
35	73	1959
36	73	1912
37	73	1868
38	74	1826
39	74	1787
40	74	1749
41	75	1714
42	75	1679
43	75	1645
44	76	1614
45	76	1583
46	76	1554
47	77	1527
48	77	1500
49	77	1475
50	77	1450
51	78	1426
52	78	1403
53	78	1382
54	79	1361
55	79	1341
56	79	1322
57	80	1303
58	80	1285
59	80	1267
60	81	1250
61	81	1234
62	81	1218
63	82	1202
64	82	1187
65	82	1173
66	83	1159
67	83	1143
68	83	1130
69	84	1117
70	84	1104
71	84	1092
72	85	1080
73	85	1068
74	85	1057
75	86	1046
76	86	1035
77	86	1024
78	86	1014
79	87	1003
80	87	993
81	87	984
82	88	974
83	88	965
84	88	955
85	89	946
86	89	936
87	89	928
88	89	919
89	90	911
90	90	903
91	90	896
92	91	889
93	91	882
94	91	874
95	92	867
96	92	860
97	92	853
98	93	846
99	93	840
100	93	834
101	93	826
102	94	820
103	94	814
104	94	808
105	95	802
106	95	796
107	95	791
108	96	786
109	96	780
110	96	775
111	97	770
112	97	764
113	97	759
114	98	754
115	98	749
116	98	744
117	98	739
118	99	734
119	99	729
120	99	724
121	100	720
122	100	714
123	100	710
124	100	706
125	101	701
126	101	697
127	101	692
128	102	689
129	102	685
130	102	681
131	103	677
132	103	673
133	103	670
134	104	666
135	104	662
136	104	659
137	104	655
138	105	651
139	105	648
140	105	644
141	106	641
142	106	638
143	106	634
144	107	631
145	107	628
146	107	625
147	108	622
148	108	618
149	108	615
150	108	612
151	109	609
152	109	606
153	109	604
154	110	601
155	110	598
156	110	595
157	111	592
158	111	589
159	111	587
160	112	584
161	112	581
162	112	578
163	113	576
164	113	573
165	113	571
166	114	568
167	114	566
168	114	563
169	114	561
170	115	558
171	115	556
172	115	553
173	116	551
174	116	549
175	116	547
176	117	544
177	117	542
178	117	540
179	118	537
180	118	535
181	118	532
182	118	530
183	119	528
184	119	526
185	119	524
186	120	522
187	120	520
188	120	518
189	121	516
190	121	514
191	121	512
192	122	510
193	122	508
194	122	506
195	122	504
196	123	502
197	123	500
198	123	499
199	124	497
200	124	495
201	124	493
202	125	491
203	125	490
204	125	488
205	126	486
206	126	484
207	126	482
208	127	481
209	127	479
210	127	478
211	128	476
212	128	474
213	128	473
214	129	471
215	129	470
216	129	468
217	130	467
218	130	465
219	130	463
220	131	462
221	131	460
222	131	459
223	132	457
224	132	456
225	132	454
226	133	453
227	133	451
228	133	450
229	133	448
230	134	447
231	134	445
232	134	444
233	135	442
234	135	441
235	135	439
236	136	438
237	136	437
238	136	436
239	137	434
240	137	433
241	137	432
242	138	430
243	138	429
244	138	428
245	139	426
246	139	425
247	139	424
248	140	422
249	140	421
250	140	420
251	141	418
252	141	417
253	141	416
254	142	415
255	142	413
256	142	412
257	143	411
258	143	410
259	143	408
260	143	407
261	144	406
262	144	405
263	144	404
264	145	402
265	145	401
266	145	400
267	146	399
268	146	398
269	146	396
270	147	395
271	147	394
272	147	393
273	148	392
274	148	391
275	148	390
276	149	389
277	149	388
278	149	386
279	150	385
280	150	384
281	150	383
282	150	382
283	151	381
284	151	380
285	151	379
286	152	378
287	152	377
288	152	376
289	153	375
290	153	374
291	153	373
292	154	372
293	154	371
294	154	369
295	155	368
296	155	367
297	155	367
298	156	366
